brand,pname,skintype,price
Neutrogena ,Neutrogena Alcohol-Free Toner,sensitive,mid
Neutrogena ,Neutrogena Pore Refining Toner,normal,mid
Neutrogena ,Neutrogena Rapid Clear 2-in-1 Toner,acne-prone,mid
Neutrogena ,Neutrogena Oil-Free Acne Stress Control Triple-Action Toner,oily,mid
Neutrogena ,Neutrogena Hydro Boost Hydrating Toner,sensitive,mid
Cetaphil ,Brightness refresh toner,sensitive,mid
Clinique ,Clinique Clarifying Lotion (Type 1),dry,high
Clinique ,Clinique Clarifying Lotion (Type 2),combination,high
Clinique ,Clinique Clarifying Lotion (Type 3),oily,high
Clinique ,Clinique Clarifying Lotion (Type 4),oily,high
Clinique ,Clinique Anti-Blemish Solutions Clarifying Lotion,acne-prone,high
Plum,Plum Green Tea Alcohol-Free Toner,oily,mid
Plum,Plum Green Tea Alcohol-Free Toner,combination,mid
Plum,Plum Green Tea Alcohol-Free Toner,acne-prone,mid
Plum,Plum Chamomile & White Tea Calming Antioxidant Toner,sensitive,mid
Plum,Plum E-Luminence Nectar Glow Tonic,dry,mid
Plum,Plum E-Luminence Deep Moisturizing Creme with GLOW Boosters,normal,mid
Kiehl's,Kiehl's Calendula Herbal Extract Alcohol-Free Toner,normal,high
Kiehl's,Kiehl's Calendula Herbal Extract Alcohol-Free Toner,oily,high
Kiehl's,Kiehl's Ultra Facial Toner,normal,high
L'Oreal,L'Oreal Paris Revitalift,sensitive,mid
L'Oreal,L'Oreal Paris Glycolic bright,normal,mid
Laneige,Laneige Cream Skin Toner,normal,high
Laneige,Laneige Perfect Renew Skin Refiner,normal,high
Laneige,Laneige water bank blue hyaluronic toner,combination,high
Laneige,Laneige water bank blue hyaluronic toner,oily,high
Forest Essentials ,Forest Essentials Facial Tonic Mist Panchpushp,normal,high
Forest Essentials ,Forest Essentials Facial Tonic Mist Panchpushp,dry,high
Forest Essentials ,Forest Essentials Facial Tonic Mist Bela,normal,high
Forest Essentials ,Forest Essentials Facial Tonic Mist Bela,combination,high
Forest Essentials ,Forest Essentials Facial Tonic Mist Pure Rosewater,normal,high
Forest Essentials ,Forest Essentials Facial Tonic Mist Pure Rosewater,sensitive,high
Minimalist,Minimalist pHA 3% + Biotic Toner,normal,mid
Minimalist,Minimalist Rosewater 3% + 3% Hyaluronic Acid Toner,normal,mid
Minimalist,Minimalist Pore Refining Toner 2% Salicylic Acid,oily,mid
The Ordinary,The Ordinary Glycolic Acid 7% Toning Solution,aging,high
The Ordinary,The Ordinary Lactic Acid 5% + HA,normal,high
Foxtale,Foxtale Essentials Daily Green Apple Glow Toner,normal,mid
Foxtale,Foxtale Essentials Multivitamin Rose Mist & Toner with Niacinamide,normal,mid
Cosrx ,COSRX AHA/BHA Clarifying Treatment Toner,normal,high
Cosrx ,COSRX Hydrium Watery Toner,dry,high
Cosrx ,COSRX Full Fit Propolis Synergy Toner,normal,high
Cosrx ,COSRX Two in One Poreless Power Liquid,normal,high
Cosrx ,COSRX Refresh AHA BHA Vitamin C Daily Toner,more,high
Dot & Key,Dot & Key Water Drench Hydrating Hyaluronic Acid Toner,dry,mid
Dot & Key,Dot & Key Zit Zapping Skin Clarifying Tea Tree Toner,normal,mid
Dot & Key,Dot & Key Glow Revealing Vitamin C Pink Potion Toner,normal,mid
Pixi,Pixi Glow Tonic,normal,high
Pixi,Pixi Rose Tonic,dry,high
Pixi,Pixi Vitamin-C Tonic,normal,high
Pixi,Pixi Retinol Tonic,normal,high
The Face Shop,THE FACE SHOP Chia Seed Hydrating Toner,dry,high
The Face Shop,THE FACE SHOP Rice & Ceramide Moisturizing Toner,aging,high
The Face Shop,THE FACE SHOP White Seed Brightening Toner,normal,high
The Face Shop,THE FACE SHOP Calendula Essential Moisture Toner,sensitive,high
The Face Shop,THE FACE SHOP Dr. Belmeur Clarifying Toner,sensitive,high
The Face Shop,THE FACE SHOP Dr. Belmeur Clarifying Toner,oily,high
